DS_Tipos de Deficiência;REGIAO;Tipos de Deficiência;Acessibilidade;;Região;Total Qtde Votos de Eleitores PcD;Acessibilidade;
Outros;Centro-Oeste;9115;5644;;Centro-Oeste;19.859;5.644;
Outros;Nordeste;46546;57479;;Nordeste;88.066;57.479;
Outros;Norte;19942;23428;;Norte;38.167;23.428;
Outros;Sudeste;48226;65434;;Sudeste;109.933;65.434;
Outros;Sul;15403;33388;;Sul;33.292;33.388;
PcD auditiva;Centro-Oeste;2168;5644;;;;;
PcD auditiva;Nordeste;8032;57479;;;;;
PcD auditiva;Norte;3614;23428;;;;;
PcD auditiva;Sudeste;10011;65434;;;;;
PcD auditiva;Sul;3486;33388;;;;;
PcD locomoção;Centro-Oeste;4892;5644;;;;;
PcD locomoção;Nordeste;19032;57479;;;;;
PcD locomoção;Norte;7686;23428;;;;;
PcD locomoção;Sudeste;32485;65434;;;;;
PcD locomoção;Sul;8064;33388;;;;;
PcD visual;Centro-Oeste;3498;5644;;;;;
PcD visual;Nordeste;13852;57479;;;;;
PcD visual;Norte;6643;23428;;;;;
PcD visual;Sudeste;17503;65434;;;;;
PcD visual;Sul;6023;33388;;;;;
Dificuldade para votar;Centro-Oeste;186;5644;;;;;
Dificuldade para votar;Nordeste;604;57479;;;;;
Dificuldade para votar;Norte;282;23428;;;;;
Dificuldade para votar;Sudeste;1708;65434;;;;;
Dificuldade para votar;Sul;316;33388;;;;;
